"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40190","@smoke login page title test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","43359","@regression login to app using wrong credentials with Data driven test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","0","login page title test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","375","@regression PUT API -- Update a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","43436","@regression verify product Information/Data","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","1","@regression invalid login test with - - pw1234","chromium","2026-07-01","skipped","2026-07-01","","loginpagefix.spec.ts","",""
"","395","@regression DELETE API -- Delete a user","chromium","2026-07-01","passed","2026-07-01","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","40186","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","42842","@smoke intercept and log requests","chromium","2026-07-01","broken","2026-07-01","","api/intercept.spec.ts","",""
"","936","@regression GET -- get location data","chromium","2026-07-01","passed","2026-07-01","","api/amadeus.oauth2.spec.ts","",""
"","42869","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","43290","@smoke user is able to login to app test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","1677","@regression POST - create a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","42913","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","1653","@regression PUT - update a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","472","@smoke GET -- get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
