"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40146","@smoke home page title test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","40208","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","42359","@smoke user is able to login to app test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","42289","@smoke logout link exist test","chromium","2026-07-01","broken","2026-07-01","","homepagefix.spec.ts","",""
"","1311","@smoke GET -- get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
"","40149","@smoke intercept and log requests","chromium","2026-07-01","broken","2026-07-01","","api/intercept.spec.ts","",""
"","42432","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","40143","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","42226","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","search.spec.ts","",""
"","42369","@smoke comp logo exists on product page","chromium","2026-07-01","broken","2026-07-01","","productpage.spec.ts","",""
"","40215","@smoke footers exist on product page","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","40146","@smoke login page title test","chromium","2026-07-01","broken","2026-07-01","","loginpagefix.spec.ts","",""
"","1725","@smoke GET -- get a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.schema.spec.ts","",""
